id,birth_year,gender,tenure,industry,occupation,org_size,household,metro_or_regional,time_q4_2020,time_q4_2020_1,time_rem_2021,pref_time_2021,pref_time_future,these_questions_are_about,in_the_past_6,how_often_do_you,how_often_would_you,does_your_employer_have,how_much_of_your,thinking_about_your_employer,thinking_about_your_employer_1,thinking_about_your_employer_2,thinking_about_your_employer_3,how_do_you_feel,org_encouraged,org_prepared,org_common,permission,collaboration,thinking_about_remote_working,thinking_about_remote_working_1,do_you_think_remote,who_is_most_supportive,org_encourage_future,org_support_future,choice_future,commute_time,think_about_your_experience,caring_time,family_time,think_about_your_experience_1,commute_time_1,think_about_your_experience_2,caring_time_1,family_time_1,think_about_your_experience_3,imagine_your_employer_offered,what_is_the_biggest,have_the_following_barriers,have_the_following_barriers_1,have_the_following_barriers_2,have_the_following_barriers_3,have_the_following_barriers_4,have_the_following_barriers_5,have_the_following_barriers_6,have_the_following_barriers_7,have_the_following_barriers_8,have_the_following_barriers_9,have_the_following_barriers_10,have_the_following_barriers_11,have_the_following_barriers_12,have_the_following_barriers_13,have_the_following_barriers_14,have_the_following_barriers_15,feel_better,more_active,feel_better_1,manages_people,do_employees_you_manage,mgmt_discretion,mgmt_retain,mgmt_recruit,team_collab,mgmt_ease_remote,mgmt_poor_performers,mgmt_prepared_remote,mgmt_focus_results,mgmt_contact,productivity,now_think_about_the,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
896,1974,male,more than 5 years,"professional, scientific and technical",professionals - arts and media professionals,between 5 and 19,couple with no dependent children,metro,rarely or never,i would not have preferred to work remotely,less than 10% of my time,i would not have preferred to work remotely,i would prefer not to work remotely,no,yes,less than 10% of my time,less than 10% of my time,yes,90%,4,4,4,4,somewhat positive,2,4,4,4,1,4,5,neither positive nor negative,they are about the same,very unlikely,somewhat unlikely,somewhat unlikely,1.0,9.0,2.0,3.0,9.0,0.5,9.0,2.0,3.0,9.5,no,,not a barrier for me,not a barrier for me,stayed about the same,somewhat worsened,not a barrier for me,somewhat worsened,somewhat worsened,not a barrier for me,somewhat worsened,somewhat worsened,significantly worsened,somewhat worsened,not a barrier for me,significantly worsened,not a barrier for me,not a barrier for me,2,1,5,yes,yes,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,my productivity is about same when i work remotely,my productivity is about same when i work remotely,difficulty collaborating with remote colleagues,lack of appropriate work and meeting spaces,difficulty innovating,lack of privacy,connectivity/internet issues,connectivity/internet issues,51
897,1973,female,more than 5 years,other services,managers - specialist managers,between 20 and 199,single person,metro,80%,80%,70%,80%,40%,no,yes,less than 10% of my time,less than 10% of my time,no,,1,1,4,5,somewhat negative,5,2,1,2,5,4,1,somewhat negative,my direct manger(s),somewhat likely,somewhat unlikely,neither unlikely or likely,1.5,8.5,1.5,4.5,8.0,0.5,8.5,1.5,5.0,8.5,no,,somewhat improved,somewhat worsened,somewhat worsened,somewhat improved,stayed about the same,somewhat worsened,somewhat worsened,somewhat worsened,stayed about the same,not a barrier for me,somewhat worsened,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,4,2,4,yes,yes,2.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,im 10% more productive when working remotely,im 10% more productive when working remotely,,,,,,,52
898,1974,female,more than 5 years,financial and insurance,clerical and administrative workers - numerical clerks,between 20 and 199,couple with dependent children,metro,less than 10% of my time,50% - about half of my time,less than 10% of my time,50% - about half of my time,30%,yes,no,,,yes,60%,4,2,2,4,neither positive nor negative,4,4,4,4,3,3,2,somewhat positive,they are about the same,neither unlikely or likely,somewhat likely,neither unlikely or likely,3.0,7.5,3.0,3.5,7.0,0.5,8.0,3.0,5.5,7.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,4,2,4,no,,,,,,,,,,,im 10% more productive when working remotely,,difficulty collaborating with remote colleagues,problems with audio-visual setup,difficulty innovating,lack of privacy,lack of privacy,interruptions,51
899,1962,male,more than 5 years,manufacturing,technicians and trades workers - construction trades workers,more than 200,couple with no dependent children,metro,rarely or never,i would not have preferred to work remotely,rarely or never,i would not have preferred to work remotely,i would prefer not to work remotely,no,no,,,unsure,,4,1,1,5,neither positive nor negative,5,2,3,1,1,4,4,somewhat negative,they are about the same,very unlikely,very unlikely,somewhat unlikely,0.5,18.0,0.5,2.0,3.0,16.0,3.0,2.0,2.0,1.0,yes,0.01,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,somewhat improved,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,somewhat improved,stayed about the same,4,4,2,no,,,,,,,,,,,im 40% more productive when working remotely,,lack of privacy,lack of privacy,lack of appropriate work and meeting spaces,noisy work environment,problems with audio-visual setup,connectivity/internet issues,63
900,1969,male,between 6 and 12 months,"transport, postal and warehousing",clerical and administrative workers - office managers and program administrators,more than 200,couple with dependent children,metro,90%,90%,90%,90%,90%,yes,yes,10%,20%,no,,5,5,5,1,strongly positive,5,5,5,5,5,1,4,strongly positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,1.5,8.0,3.5,3.0,8.0,0.0,9.0,3.0,4.0,8.0,no,,stayed about the same,somewhat worsened,somewhat improved,somewhat improved,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,3,3,3,no,,,,,,,,,,,my productivity is about same when i work remotely,,noisy work environment,problems with audio-visual setup,connectivity/internet issues,difficulty collaborating with remote colleagues,lack of appropriate work and meeting spaces,difficulty innovating,56
901,2000,female,between 1 and 5 years,"professional, scientific and technical","professionals - business, human resource and marketing professionals",more than 200,one parent family with dependent children,metro,80%,80%,50% - i spent about half of my time remote working,50% - about half of my time,40%,yes,no,,,no,,5,5,5,4,strongly positive,5,5,5,5,3,1,2,somewhat positive,they are about the same,very likely,very likely,very likely,1.0,8.0,3.0,6.0,6.0,0.0,8.0,3.0,6.0,7.0,no,,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,not a barrier for me,somewhat worsened,stayed about the same,somewhat worsened,not a barrier for me,not a barrier for me,somewhat worsened,stayed about the same,not a barrier for me,stayed about the same,not a barrier for me,somewhat improved,3,3,4,no,,,,,,,,,,,im 10% less productive when working remotely,,difficulty collaborating with remote colleagues,problems with audio-visual setup,difficulty innovating,noisy work environment,connectivity/internet issues,connectivity/internet issues,25
902,1968,male,between 1 and 5 years,information media and telecommunications,"managers - chief executives, general managers and legislators",between 5 and 19,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,no,,,no,,5,5,5,5,strongly positive,5,5,5,5,5,3,5,strongly positive,they are about the same,very likely,very likely,somewhat unlikely,0.0,9.0,3.0,4.0,8.0,0.0,9.0,3.0,4.0,8.0,no,,somewhat improved,stayed about the same,stayed about the same,significantly improved,stayed about the same,somewhat improved,not a barrier for me,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,3,4,3,yes,yes,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,im 40% more productive when working remotely,im 40% more productive when working remotely,,,,,,,57
903,1980,female,more than 5 years,other services,clerical and administrative workers - inquiry clerks and receptionists,between 20 and 199,one parent family with dependent children,metro,20%,20%,20%,20%,10%,yes,no,,,no,,5,5,5,3,strongly positive,5,4,4,5,4,3,5,somewhat positive,they are about the same,somewhat likely,somewhat likely,very likely,3.0,10.0,3.0,2.0,6.0,0.1,10.0,3.0,4.9,6.0,yes,0.05,somewhat improved,stayed about the same,stayed about the same,stayed about the same,somewhat improved,somewhat improved,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,significantly improved,not a barrier for me,not a barrier for me,stayed about the same,significantly improved,5,4,3,no,,,,,,,,,,,im 40% more productive when working remotely,,difficulty collaborating with remote colleagues,problems with audio-visual setup,lack of appropriate work and meeting spaces,noisy work environment,lack of appropriate work and meeting spaces,interruptions,45
904,1987,female,between 6 and 12 months,financial and insurance,"professionals - business, human resource and marketing professionals",between 5 and 19,couple with dependent children,metro,rarely or never,20%,50% - i spent about half of my time remote working,50% - about half of my time,50% - about half of my time,yes,yes,50% - about half of my time,50% - about half of my time,no,,5,5,5,5,strongly positive,2,4,4,5,2,2,3,somewhat positive,my direct manger(s),somewhat likely,very likely,somewhat likely,3.0,8.0,6.0,1.0,6.0,0.0,8.0,8.0,2.0,6.0,no,,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,somewhat worsened,stayed about the same,somewhat improved,somewhat worsened,somewhat improved,somewhat worsened,somewhat improved,stayed about the same,somewhat improved,4,4,4,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,38
905,1961,female,between 1 and 5 years,financial and insurance,professionals - ict professionals,more than 200,single person,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,90%,yes,no,,,unsure,,4,4,1,5,somewhat negative,5,5,5,5,5,1,4,strongly positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,3.0,9.0,1.0,3.0,8.0,0.5,10.0,1.0,4.5,8.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,somewhat improved,significantly improved,somewhat improved,significantly improved,somewhat improved,significantly improved,significantly improved,significantly improved,5,5,2,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,64
906,1969,male,more than 5 years,information media and telecommunications,professionals - ict professionals,more than 200,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,90%,yes,yes,90%,90%,yes,80%,5,5,5,5,strongly positive,5,5,5,5,5,3,5,somewhat positive,they are about the same,somewhat likely,somewhat likely,very likely,3.0,5.0,5.0,5.0,6.0,0.0,7.5,5.0,5.0,6.5,no,,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,somewhat improved,stayed about the same,somewhat improved,3,3,4,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,56
907,1985,female,more than 5 years,health care and social assistance,"professionals - legal, social and welfare professionals",more than 200,couple with dependent children,metro,60%,80%,30%,60%,50% - about half of my time,no,yes,less than 10% of my time,30%,yes,100% - all of my time,2,1,3,4,strongly negative,1,4,3,1,5,4,2,somewhat positive,my direct manger(s),very unlikely,very unlikely,very unlikely,2.5,8.0,2.5,4.0,7.0,0.5,8.0,3.0,5.5,7.0,no,,significantly improved,not a barrier for me,somewhat improved,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,not a barrier for me,significantly worsened,stayed about the same,not a barrier for me,stayed about the same,5,3,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,40
908,1963,male,more than 5 years,financial and insurance,managers - specialist managers,more than 200,couple with no dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,60%,60%,yes,no,,,no,,5,4,4,4,strongly positive,2,4,3,4,5,1,3,somewhat positive,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,0.0,13.0,1.0,6.0,4.0,0.0,13.0,1.0,6.0,4.0,no,,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,3,yes,yes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,my productivity is about same when i work remotely,my productivity is about same when i work remotely,,,,,,,62
909,1983,female,more than 5 years,"professional, scientific and technical",managers - specialist managers,between 20 and 199,couple with dependent children,regional,70%,50% - about half of my time,60%,40%,50% - about half of my time,no,yes,10%,10%,no,,3,2,2,4,somewhat positive,3,4,5,5,3,3,2,somewhat positive,they are about the same,somewhat unlikely,neither unlikely or likely,somewhat unlikely,2.0,8.0,3.0,4.0,7.0,0.0,8.0,4.0,5.0,7.0,yes,0.05,somewhat worsened,stayed about the same,somewhat improved,somewhat worsened,stayed about the same,somewhat worsened,somewhat worsened,not a barrier for me,somewhat worsened,stayed about the same,somewhat worsened,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,3,4,4,yes,yes,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,im 10% more productive when working remotely,im 10% more productive when working remotely,difficulty collaborating with remote colleagues,connectivity/internet issues,difficulty innovating,noisy work environment,problems with audio-visual setup,interruptions,42
910,1965,male,more than 5 years,information media and telecommunications,managers - specialist managers,between 20 and 199,couple with no dependent children,metro,90%,50% - about half of my time,90%,50% - about half of my time,40%,yes,yes,10%,10%,no,,5,5,5,5,strongly positive,3,4,4,5,5,3,5,somewhat positive,they are about the same,very likely,somewhat likely,very likely,2.0,10.0,2.0,4.0,6.0,0.5,11.0,2.0,4.5,6.0,yes,0.1,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,3,4,4,no,,,,,,,,,,,my productivity is about same when i work remotely,,difficulty collaborating with remote colleagues,lack of privacy,interruptions,noisy work environment,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,60
911,1986,male,between 6 and 12 months,"professional, scientific and technical",technicians and trades workers - automotive and engineering trades workers,more than 200,couple with dependent children,regional,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,no,,,no,,4,2,2,2,somewhat positive,4,4,4,4,4,2,2,somewhat positive,they are about the same,neither unlikely or likely,somewhat unlikely,neither unlikely or likely,8.0,8.0,1.0,1.0,6.0,2.0,10.0,2.0,2.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,39
912,1975,female,between 1 and 5 years,health care and social assistance,managers - specialist managers,i am a sole trader/owner-operator,single person,metro,50% - i spent about half of my time remote working,50% - about half of my time,50% - i spent about half of my time remote working,50% - about half of my time,50% - about half of my time,yes,yes,50% - about half of my time,50% - about half of my time,yes,50% - about half of my time,5,1,1,1,strongly positive,5,5,1,5,1,1,1,strongly positive,they are about the same,very unlikely,very unlikely,very unlikely,8.0,2.0,1.0,8.0,5.0,8.0,2.0,1.0,8.0,5.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,5,1,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,50
913,1981,male,between 1 and 5 years,public administration and safety,"managers - chief executives, general managers and legislators",more than 200,couple with dependent children,metro,90%,90%,80%,80%,80%,yes,no,,,no,,5,4,4,4,strongly positive,5,4,3,4,3,3,3,somewhat positive,my direct manger(s),somewhat unlikely,somewhat likely,somewhat likely,3.5,7.0,2.5,4.0,7.0,0.5,7.0,4.5,5.0,7.0,no,,somewhat worsened,not a barrier for me,not a barrier for me,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,3,2,3,yes,yes,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,my productivity is about same when i work remotely,my productivity is about same when i work remotely,,,,,,,44
914,1995,male,between 1 and 5 years,financial and insurance,clerical and administrative workers - other clerical and administrative workers,i am a sole trader/owner-operator,couple with dependent children,metro,20%,20%,10%,20%,20%,no,yes,30%,20%,yes,30%,4,4,3,3,neither positive nor negative,4,3,4,4,4,2,4,neither positive nor negative,they are about the same,somewhat unlikely,neither unlikely or likely,neither unlikely or likely,5.0,6.0,4.0,3.0,6.0,4.0,6.0,4.0,5.0,5.0,no,,stayed about the same,somewhat improved,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,somewhat worsened,stayed about the same,significantly worsened,significantly worsened,stayed about the same,somewhat worsened,somewhat worsened,somewhat worsened,stayed about the same,stayed about the same,3,4,4,no,,,,,,,,,,,im 30% more productive when working remotely,,difficulty collaborating with remote colleagues,lack of appropriate work and meeting spaces,interruptions,lack of privacy,problems with audio-visual setup,difficulty innovating,30
915,1977,female,more than 5 years,financial and insurance,sales workers - sales representatives and agents,more than 200,multiple family household,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,yes,no,,,no,,5,5,5,2,strongly positive,5,5,4,4,5,2,3,somewhat positive,they are about the same,somewhat likely,neither unlikely or likely,very likely,0.0,7.5,5.0,3.5,8.0,,7.5,5.0,3.5,8.0,yes,0.1,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,significantly worsened,somewhat improved,not a barrier for me,not a barrier for me,somewhat improved,not a barrier for me,somewhat improved,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,5,3,no,,,,,,,,,,,im 30% more productive when working remotely,,,,,,,,48
916,1972,male,between 1 and 5 years,manufacturing,technicians and trades workers - automotive and engineering trades workers,between 1 and 4,other one family household,metro,50% - i spent about half of my time remote working,20%,30%,30%,50% - about half of my time,yes,yes,40%,70%,yes,60%,2,1,2,3,somewhat positive,2,3,3,1,2,4,2,somewhat positive,senior leadership,very unlikely,somewhat unlikely,somewhat unlikely,1.0,8.0,4.0,2.0,9.0,4.0,8.0,4.0,4.0,4.0,yes,0.01,not a barrier for me,significantly worsened,somewhat worsened,significantly worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,significantly worsened,somewhat worsened,somewhat worsened,somewhat worsened,significantly worsened,somewhat worsened,somewhat worsened,somewhat worsened,2,2,3,yes,yes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,im 20% more productive when working remotely,im 20% more productive when working remotely,,,,,,,53
917,1960,female,more than 5 years,financial and insurance,clerical and administrative workers - office managers and program administrators,more than 200,single person,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,60%,yes,no,,,no,,5,2,2,2,strongly positive,5,5,5,5,5,1,4,strongly positive,they are about the same,very likely,very likely,very likely,1.5,11.0,1.5,4.0,6.0,0.0,11.0,1.5,5.5,6.0,no,,stayed about the same,stayed about the same,significantly improved,not a barrier for me,not a barrier for me,significantly improved,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,5,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,noisy work environment,lack of privacy,interruptions,difficulty collaborating with remote colleagues,problems with audio-visual setup,connectivity/internet issues,65
918,1967,female,between 1 and 5 years,public administration and safety,managers - specialist managers,between 20 and 199,couple with no dependent children,regional,less than 10% of my time,50% - about half of my time,rarely or never,50% - about half of my time,50% - about half of my time,no,yes,less than 10% of my time,10%,yes,100% - all of my time,1,1,4,5,strongly negative,1,1,4,1,5,5,1,somewhat positive,they are about the same,very unlikely,very unlikely,very unlikely,3.0,9.0,3.0,2.0,7.0,1.0,10.0,3.0,3.0,7.0,no,,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,somewhat improved,somewhat worsened,stayed about the same,stayed about the same,significantly worsened,significantly worsened,stayed about the same,stayed about the same,stayed about the same,4,4,2,yes,yes,5.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,im 10% more productive when working remotely,im 10% more productive when working remotely,interruptions,connectivity/internet issues,connectivity/internet issues,noisy work environment,lack of privacy,lack of appropriate work and meeting spaces,58
919,1989,male,between 1 and 5 years,financial and insurance,sales workers - sales representatives and agents,more than 200,couple with no dependent children,metro,50% - i spent about half of my time remote working,50% - about half of my time,50% - i spent about half of my time remote working,50% - about half of my time,40%,yes,yes,100% - all of my time,70%,unsure,,4,4,4,4,neither positive nor negative,4,4,4,4,4,4,4,neither positive nor negative,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,1.0,12.0,2.0,2.0,7.0,1.0,12.0,2.0,2.0,7.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,3,3,3,no,,,,,,,,,,,my productivity is about same when i work remotely,,,,,,,,36
920,1985,male,more than 5 years,retail trade,community and personal service workers - hospitality workers,between 5 and 19,couple with dependent children,metro,50% - i spent about half of my time remote working,100% - all of my time,20%,80%,50% - about half of my time,yes,yes,50% - about half of my time,60%,unsure,,4,4,4,4,neither positive nor negative,4,4,4,4,4,4,4,somewhat positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,,10.0,,14.0,,,24.0,,,,no,,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,somewhat improved,significantly improved,somewhat improved,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,somewhat worsened,4,4,4,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,difficulty collaborating with remote colleagues,connectivity/internet issues,interruptions,noisy work environment,problems with audio-visual setup,connectivity/internet issues,40
921,1965,male,more than 5 years,"professional, scientific and technical",professionals - ict professionals,more than 200,couple with no dependent children,regional,50% - i spent about half of my time remote working,20%,40%,20%,20%,no,yes,80%,50% - about half of my time,no,,3,5,5,1,somewhat positive,4,5,4,5,4,4,1,neither positive nor negative,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,1.0,7.0,2.0,6.0,8.0,0.5,6.0,3.0,6.5,8.0,no,,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,3,3,4,no,,,,,,,,,,,my productivity is about same when i work remotely,,difficulty collaborating with remote colleagues,connectivity/internet issues,difficulty innovating,noisy work environment,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,60
922,1973,male,more than 5 years,construction,managers - specialist managers,between 1 and 4,couple with dependent children,regional,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,yes,100% - all of my time,100% - all of my time,no,,5,5,5,1,strongly positive,5,5,5,5,3,3,4,strongly positive,they are about the same,very likely,very likely,very likely,0.0,8.0,3.0,5.0,8.0,0.0,8.0,3.0,5.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,4,3,no,,,,,,,,,,,my productivity is about same when i work remotely,,,,,,,,52
923,1965,male,more than 5 years,information media and telecommunications,managers - specialist managers,between 20 and 199,couple with no dependent children,metro,less than 10% of my time,40%,rarely or never,40%,40%,no,no,,,yes,100% - all of my time,1,1,1,4,somewhat negative,1,3,1,2,4,5,4,somewhat negative,senior leadership,very unlikely,very unlikely,very unlikely,2.0,9.0,1.0,4.0,8.0,0.0,10.0,1.0,5.0,8.0,yes,0.1,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,significantly worsened,stayed about the same,stayed about the same,stayed about the same,somewhat improved,not a barrier for me,not a barrier for me,not a barrier for me,significantly worsened,not a barrier for me,not a barrier for me,not a barrier for me,3,5,4,yes,no,,,,,,,,,,my productivity is about same when i work remotely,my productivity is about same when i work remotely,,,,,,,60
924,1963,male,more than 5 years,other services,"managers - chief executives, general managers and legislators",more than 200,couple with no dependent children,metro,40%,40%,10%,20%,40%,yes,no,,,no,,5,4,5,4,strongly positive,4,5,4,5,2,1,3,strongly positive,they are about the same,very likely,somewhat likely,very likely,1.5,10.0,0.5,4.5,7.5,0.5,11.0,0.5,4.5,7.5,no,,significantly worsened,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,4,3,4,yes,yes,5.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,4.0,my productivity is about same when i work remotely,my productivity is about same when i work remotely,difficulty collaborating with remote colleagues,problems with audio-visual setup,connectivity/internet issues,lack of privacy,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,62
925,1975,female,more than 5 years,other services,"managers - chief executives, general managers and legislators",more than 200,multiple family household,metro,less than 10% of my time,20%,rarely or never,20%,20%,yes,yes,less than 10% of my time,20%,yes,100% - all of my time,1,1,1,1,strongly negative,1,4,1,1,2,2,4,strongly negative,they are about the same,very unlikely,very unlikely,very unlikely,1.0,8.0,4.0,3.0,8.0,0.0,9.0,5.0,2.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,3,yes,no,,,,,,,,,,my productivity is about same when i work remotely,my productivity is about same when i work remotely,,,,,,,50
926,1995,male,between 1 and 5 years,"professional, scientific and technical","professionals - business, human resource and marketing professionals",between 20 and 199,group household,metro,90%,60%,90%,50% - about half of my time,50% - about half of my time,no,yes,90%,50% - about half of my time,no,,4,2,4,2,somewhat positive,5,5,3,4,4,2,4,somewhat positive,they are about the same,neither unlikely or likely,somewhat likely,very likely,1.75,6.75,2.75,3.75,9.0,0.0,7.5,4.25,4.25,8.0,yes,0.06,stayed about the same,somewhat improved,significantly improved,somewhat improved,stayed about the same,somewhat improved,somewhat worsened,somewhat improved,stayed about the same,significantly improved,somewhat improved,somewhat worsened,significantly improved,stayed about the same,significantly improved,somewhat improved,3,4,3,no,,,,,,,,,,,im 10% less productive when working remotely,,,,,,,,30
927,1987,male,between 1 and 5 years,manufacturing,"managers - chief executives, general managers and legislators",more than 200,couple with dependent children,metro,50% - i spent about half of my time remote working,50% - about half of my time,50% - i spent about half of my time remote working,80%,100% - all of my time,yes,yes,50% - about half of my time,100% - all of my time,no,,5,5,5,1,strongly positive,2,4,1,5,4,1,1,strongly positive,senior leadership,somewhat unlikely,somewhat likely,somewhat likely,1.0,8.0,4.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,5,2,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),interruptions,connectivity/internet issues,difficulty innovating,difficulty collaborating with remote colleagues,problems with audio-visual setup,interruptions,38
